user_id,Age,Gender,Location,cohort_year,First_tran_date,total_txn,total_amount,revenue,active_months,carrier_mode,AOV
2798545,33_to_37,MALE,HCMC,2018,2018-12-13,1,30000.0,600.0,1,Viettel,30000.0
41058045,23_to_27,MALE,Other Cities,2020,2020-06-05,1,50000.0,1000.0,1,Viettel,50000.0
49563395,23_to_27,MALE,Other Cities,2019,2019-09-25,1,20000.0,400.0,1,Viettel,20000.0
39811547,23_to_27,MALE,Other Cities,2017,2017-11-17,1,10000.0,200.0,1,Viettel,10000.0
38824826,23_to_27,FEMALE,Other Cities,2019,2019-08-28,1,50000.0,1500.0,1,Mobifone,50000.0
33530549,28_to_32,FEMALE,Other Cities,2018,2018-04-18,1,50000.0,1000.0,1,Viettel,50000.0
43414947,28_to_32,MALE,Other Cities,2018,2018-09-21,1,100000.0,2000.0,1,Viettel,100000.0
1299282,28_to_32,MALE,Other Cities,2017,2017-10-19,1,20000.0,400.0,1,Viettel,20000.0
48047263,28_to_32,MALE,Other Cities,2019,2019-07-08,1,50000.0,1000.0,1,Viettel,50000.0
32017848,28_to_32,MALE,Other Cities,2018,2018-10-18,1,20000.0,400.0,1,Viettel,20000.0
40928571,18_to_22,MALE,HN,2018,2018-02-05,1,200000.0,4000.0,1,Viettel,200000.0
42501754,18_to_22,MALE,HCMC,2018,2018-09-01,1,50000.0,1000.0,1,Viettel,50000.0
44391867,18_to_22,MALE,HN,2018,2018-11-27,1,10000.0,400.0,1,Vinaphone,10000.0
46946787,28_to_32,MALE,HCMC,2019,2019-04-27,1,20000.0,600.0,1,Mobifone,20000.0
21920277,28_to_32,FEMALE,HCMC,2019,2019-10-08,1,50000.0,1000.0,1,Viettel,50000.0
40817161,28_to_32,MALE,HN,2018,2018-01-20,1,300000.0,12000.0,1,Vinaphone,300000.0
48566086,unknown,FEMALE,Other Cities,2019,2019-09-01,1,20000.0,600.0,1,Mobifone,20000.0
48140317,unknown,FEMALE,HCMC,2019,2019-07-20,1,50000.0,1000.0,1,Viettel,50000.0
46045362,unknown,FEMALE,HN,2020,2020-01-22,1,50000.0,1000.0,1,Viettel,50000.0
48563532,unknown,MALE,HN,2019,2019-10-18,1,20000.0,400.0,1,Viettel,20000.0
47546177,unknown,FEMALE,HCMC,2019,2019-06-07,1,50000.0,1000.0,1,Viettel,50000.0
31689981,unknown,FEMALE,HCMC,2018,2018-09-16,1,50000.0,1500.0,1,Mobifone,50000.0
35550279,28_to_32,MALE,HCMC,2019,2019-12-03,1,100000.0,3000.0,1,Mobifone,100000.0
46275696,unknown,FEMALE,Other Cities,2019,2019-10-20,1,30000.0,600.0,1,Viettel,30000.0
45860286,23_to_27,FEMALE,HCMC,2019,2019-06-07,1,100000.0,3000.0,1,Mobifone,100000.0
53179054,unknown,MALE,Other Cities,2020,2020-02-04,1,50000.0,1000.0,1,Viettel,50000.0
13422339,>37,FEMALE,HCMC,2019,2019-08-18,1,100000.0,4000.0,1,Vinaphone,100000.0
40716335,>37,FEMALE,HCMC,2018,2018-07-31,1,10000.0,300.0,1,Mobifone,10000.0
47579827,18_to_22,FEMALE,HCMC,2019,2019-06-11,1,20000.0,400.0,1,Viettel,20000.0
38540096,33_to_37,FEMALE,HN,2018,2018-11-12,1,20000.0,600.0,1,Mobifone,20000.0
44481319,33_to_37,MALE,HCMC,2018,2018-12-04,1,50000.0,1000.0,1,Viettel,50000.0
52972487,18_to_22,FEMALE,Other Cities,2020,2020-05-30,1,10000.0,200.0,1,Viettel,10000.0
44501969,18_to_22,MALE,Other Cities,2018,2018-12-12,1,20000.0,400.0,1,Viettel,20000.0
40795552,23_to_27,FEMALE,Other Cities,2018,2018-01-13,1,50000.0,1000.0,1,Viettel,50000.0
39826477,28_to_32,FEMALE,Other Cities,2019,2019-01-30,1,10000.0,300.0,1,Mobifone,10000.0
9015032,28_to_32,MALE,Other Cities,2020,2020-03-27,1,50000.0,1500.0,1,Mobifone,50000.0
46812216,23_to_27,FEMALE,Other Cities,2020,2020-02-05,1,50000.0,1500.0,1,Mobifone,50000.0
42321491,23_to_27,MALE,HCMC,2018,2018-07-24,1,50000.0,1500.0,1,Mobifone,50000.0
39982875,23_to_27,MALE,HN,2018,2018-01-29,1,50000.0,1000.0,1,Viettel,50000.0
41675889,23_to_27,MALE,HN,2019,2019-11-08,1,10000.0,200.0,1,Viettel,10000.0
45785346,23_to_27,MALE,HCMC,2019,2019-05-19,1,50000.0,1000.0,1,Viettel,50000.0
39182280,23_to_27,FEMALE,HCMC,2018,2018-08-30,1,300000.0,6000.0,1,Viettel,300000.0
52451894,28_to_32,FEMALE,HN,2020,2020-03-12,1,10000.0,200.0,1,Viettel,10000.0
44529002,28_to_32,FEMALE,HCMC,2018,2018-12-08,1,50000.0,1000.0,1,Viettel,50000.0
5747302,28_to_32,MALE,HCMC,2019,2019-02-12,1,100000.0,3000.0,1,Mobifone,100000.0
34030103,28_to_32,MALE,HCMC,2018,2018-11-27,1,30000.0,1200.0,1,Vinaphone,30000.0
17583697,unknown,FEMALE,Other Cities,2019,2019-11-20,1,20000.0,800.0,1,Vinaphone,20000.0
29839729,unknown,MALE,Other Cities,2017,2017-08-30,1,200000.0,8000.0,1,Vinaphone,200000.0
11433825,unknown,FEMALE,Other Cities,2019,2019-01-15,1,100000.0,3000.0,1,Mobifone,100000.0
50024095,unknown,FEMALE,HCMC,2020,2020-06-09,1,50000.0,2000.0,1,Vietnamobile,50000.0
